MoisturePercent,Organic,CategoryTypeEn,MilkTypeEn,MilkTreatmentTypeEn,RindTypeEn,FatLevel
0.187498125,1,5,1,1,2,0.0
0.34999650000000004,1,4,1,0,0,1.0
0.287497125,1,5,1,0,2,0.0
0.35374646249999997,1,4,1,0,0,1.0
0.187498125,1,2,1,1,2,0.0
0.35374646249999997,1,5,1,0,2,1.0
0.35374646249999997,1,4,1,0,0,1.0
0.22499775000000002,0,2,1,1,2,1.0
0.37499625000000003,0,3,1,0,2,1.0
0.38749612499999997,0,3,4,1,3,0.0
0.41249587499999996,0,0,1,0,2,0.0
0.41249587499999996,0,3,1,0,3,1.0
0.49999499999999997,0,4,1,0,0,0.0
0.49999499999999997,0,4,1,0,0,0.0
0.41249587499999996,0,0,1,0,2,0.0
0.49999499999999997,0,4,1,0,3,0.0
0.47499525,0,4,1,0,3,1.0
0.27499724999999997,0,0,1,0,2,0.0
0.47499525,0,4,1,0,2,1.0
0.27499724999999997,0,0,1,1,2,0.0
0.887491125,0,1,1,0,2,1.0
0.337496625,0,0,1,0,2,0.0
0.49999499999999997,0,4,1,1,0,1.0
0.287497125,0,0,1,1,3,0.0
0.337496625,0,0,1,0,2,0.0
0.49624503750000004,0,0,1,0,2,1.0
0.44874551249999994,0,0,1,0,2,1.0
0.23749762500000002,0,0,1,0,2,0.0
0.37499625000000003,0,0,1,0,2,1.0
0.37499625000000003,0,0,1,0,2,1.0
0.37499625000000003,0,0,1,0,2,1.0
0.337496625,0,0,1,0,2,0.0
0.337496625,1,0,1,0,2,0.0
0.337496625,1,0,1,0,2,0.0
0.337496625,0,0,1,1,1,0.0
0.42499575,0,3,1,0,2,1.0
0.337496625,0,0,1,0,2,0.0
0.42499575,0,3,1,0,3,1.0
0.337496625,0,0,1,1,3,0.0
0.312496875,0,0,1,1,2,0.0
0.312496875,0,0,1,1,2,0.0
0.312496875,0,0,1,1,2,0.0
0.4499955,1,4,1,1,3,1.0
0.41249587499999996,1,3,1,1,2,1.0
0.4499955,1,3,1,1,3,1.0
